conecrash	Cone Crash	Grass	Hits both enemies and flinches 20%
cookiecrunch	Cookie Crunch	Fairy	Heals user by 50% damage dealt
copycatstrike	Copycat Strike	Fairy/Dark	Type Changes to Type of Targets last moved attack. If no attack used before stays normal
cottonwind	Cotton Wind	Grass/Normal	Cotton Effect on you side of the field: Pokemon Cant flinch and super effective hits deal 25% less damage.
counterboneswipe	Counter Bone Swipe	Ground	Like Succer Punch only Attacks if the Target wants to attack the user. Then it attacks the target before they attack
cranecatapult	Crane Catapult	Steel	Damage + forces target to switch out
creamsplash	Cream Splash	Grass	Damages Both Opponents
crustalram	Crustal Ram	Water/Rock	The greater the weight compared to the target, the greater the damage
crystalmelody	Crystal Melody	Rock/Fairy	Hightens Def and Sp.Def and deals low damage to every pokemon on the field, also itself
crystalspike	Crystal Spike	Psychic/Ground	Also Able to damage Targets immune to Ground Type Attacks(By Effects abilities of flying type,...)
ddosswarm	DDOS Swarm	Steel/Electric	hits 2 to 5 times and lowers sp.def to 10% with every hit
deepforestambush	Deep Forest Ambush	Ghost	Deals 30% more damage if user attacks before target
desertlariat	Desert Lariat	Grass	Ignores Enemy Stat boosts in Defense and Evasion
desertprowl	Desert Prowl	Ground	Boosts Attack and Accuracy by 1 and also Boosts Evasion by one if in Sandstorm
dinner41	Dinner-4-1	Fairy	Heals itself by 10% of its max.Hp at the end of every turn for the next 5 turns. Stackable
doublespin	Double-Spin	Fairy	Damages 2 Times
dragonvortex	Dragon Vortex	Dragon	Boosts Speed and Defense by 1 in first round. In next round it attacks and Deals High damage to both Opponents
dreadlock	Dread Lock	Dark	Target cant switch out for 5 turns and has sp.atk lowered by 1
driedthorns	Dried Thorns	Grass	Damages enemy over 5 turns
driftroll	Driftroll	Normal	High Damage
echoblast	Echo Blast	Dark/Flying	Multipies with the amount of Sound Moves used in a row by this Pokemon. 50 Basepower up to 300. Sound Move
eggsplosion	Eggsplosion	Normal	Looses 50% max. HP
electicgnaw	Electic Gnaw	Normal	Consumes Targets Food Item if held
evaporate	Evaporate	Dark	Damages both Enemies
faemirror	Fae Mirror	Water/Fairy	Uses the last used Attack of the Target with Fairy Type against them
fakefluff	Fake Fluff	Ghost	Lowers users def and sp.def by 2 and KOs the pokemon that knocks it out, of it is knocked out this round
feathercoat	Feather Coat	Water/Fairy	Protect move. If Enemy Moves used against it would have side effects. Enemies have a chance to get them
feedbackscreech	Feedback Screech	Dark/Flying	30% Flinch chance. If used while a Room Effect is active, it hits all opponents
fiendishbargain	Fiendish Bargain	Fire	User looses 50% max.Hp and boosts Initiative and sp.atk by 2 stages
flamesting	Flamesting	Bug/Flying	Burns
flattening	Flattening	Grass	Is 100% Accurate if the user is faster then the target and 70% if not. Deals damage and lowers targts speed by 1
flutterstrike	Flutter Strike	Bug	Uses Users second typing as type and has +1 priority
focalbeam	Focal Beam	Steel	Boosts Accuracy and Critical hit ratio by 1 and deals low damage. Only raises Accuracy and Crit Ratio if Crit ratio isnt allready raised
fortressbash	Fortress Bash	Rock	Deals Damage Based on the Users Defense stat instead of Attack and has Priority -1
foundationsmash	Foundation Smash	Rock	Removes Relfect and Light Screen
fullmoon	Full Moon	Grass/Ghost	Sets Up Foll moon weather condition
fullmoonbeam	Full Moon Beam	Ghost	Sets up the full moon weather for 5 rounds and deals damage. By full Moon Ghost Pokemon deal more damage and ghost pokemons stats cant be lowered
furiousaxeslash	Furious Axe Slash	Normal/Fighting	Crit garanteed, 30% Flinch chance
furiouscrownbeam	Furious Crown Beam	Normal/Fighting	Crit garanteed, 30% Flinch chance
furiousfang	Furious Fang	Normal/Fighting	Fairy Type if Female, Fighting if Male, 30% Flinch chance
furniturehaunt	Furniture Haunt	Ghost	Haunted Room Effect on the Field(Like Trick room doesnt overwrite Fields) for 5 Turns: All non-ghost-type Pokemon Act as if they had the ghost type too, no matter how many types they already have
gasveil	Gasveil	Bug/Flying	Gaseffect on opposing Fieldside: Doubles Fire Type Damage Recieved by all enemies for 5 Rounds
ghostbash	Ghost Bash	Grass/Ghost	pretends users speed is 2×
gigavoltpunch	Gigavolt Punch	Electric	Paralyzes User
glitchmatrix	Glitch Matrix	Steel/Electric	Sets up a new Room "Glitched Room" (like Trick Room doesnt override Fields) and lifts up type immunities
gravityforce	Gravity Force	Rock	Target is not immune to ground for 5 rounds
gravityspore	Gravity Spore	Grass	Every Pokemon on the Field touches the Ground for 5 rounds
groundeddrain	Grounded Drain	Grass/Flying	Looses Ground Type Immunity and gets immune to Electric type and heals 50% max.Hp. Now effected by every ground effect and fieldeffect (landed)
guillotinegust	Guillotine Gust	Bug	High crit ratio
harvesthopper	Harvest Hopper	Grass/Fighting	Heals by 50% of damage dealt
heavenlysmite	Heavenly Smite	Water	User faints if Attack misses(blocked by Protect moves is not missing)
heavytrumpet	Heavy Trumpet	Ground	Chance to flinch Target equals the Amount of Hp Loss by this attack in %
heliumburst	Helium Burst	Flying	Burns Unser and Target and deals damage
infernalmeltdown	Infernal Meltdown	Fire	Doubles Damage if Super-Effective so it deals even more damage if super-effective
inflatablefortress	Inflatable Fortress	Flying	Boists Defense and Sp.Def by 1
ionizingblast	Ionizing Blast	Dragon/Electric	Deals Double Damag in Rain and stops rain immediately. Normal 70 basepower
livewire	Live Wire	Electric	Sets up electrified cables as entry hazard. These oaralyse pokemon that switch in new(dont effects flying type pokemon and dont effect+get removed by electric and ground type pokemon switching in)
loamimpact	Loam Impact	Grass	Hits targets under Ground too and deals double damage to them
magmagulp	Magma Gulp	Fire/Rock	Deals good damage and hits rock types super effective
magneticcharge	Magnetic Charge	Steel	Boosts Atk and Sp. Atk By 1 and damages all electric and steel type pokemon on the field, excluding itself
mahoganymindcrash	Mahogany Mind Crash	Grass	Uses Enemy Sp.Atk instead of Sp.Def
maligantstalk	Maligant Stalk	Grass	High Crit Ratio. Badly Poisons if crits
mambranepulse	Mambrane Pulse	Electric	Hits Both Enemies
mantisdance	Mantis Dance	Bug	Boosts Atk and Spe by 1
masterpiececurse	Masterpiece Curse	Normal/Poison	Poisons Target and Lowers their Highets stat by 1, excepting hp
meltdown	Meltdown	Ice	Deals Damage and Lowers Defense and Sp.Def
mentaloverdrive	Mental Overdrive	Psychic	Lowers users Sp.Def by 2 Stages
metamorphicgale	Metamorphic Gale	Bug	30% Chance to boost random stat of user by 1
meteordive	Meteor Dive	Flying/Rock	33% recoild damage
mindfulstrike	Mindful Strike	Water	Doubles Damage if Status Move is used the Turn before
moonlightbuoyancy	Moonlight Buoyancy	Water/Flying	Boosts Initaiative and Evasion by 1. Boosts by 2 if in Misty Terrain or at Full Moon
moonlightpounce	Moonlight Pounce	Ghost	Has +1 Priority and deals 50% more damage under full moon
myceliumuplift	Mycelium Uplift	Grass	Boosts Evasion and Sp.Atk by 1
nectardash	Nectar Dash	Grass/Flying	If user holds Food item it is consumed before attack and priority turns to +2 instead of 0
needlejab	Needle Jab	Grass	Used Faster, if user is hit by damaging attack it uses the move directly after its hit
needlemissle	Needle Missle	Grass	Hits 2 to 5 times higher crit ratio
needleroll	Needle Roll	Electric	Uses Users Type as Attacktype and has a 30% chance to inflict the status condition of the type when hitting the target(Paralysis or badly Poison)
nightpulse	Night Pulse	Dark/Flying	Strong Sound Move, no effects
nutlauncher	Nut Launcher	Grass	Hits 2-5 times and if used at Parter heals 50% of damage it would deal
oakcarving	Oak Carving	Grass	Looses 25% max. Hp but creates a substitute with these hp. If Marionoak has Spinter Bark as its ability, this Substitute also has Spinter Bark
outofthecloset	Out of the Closet	Ghost	Boosts Sp.Def by 1 in first turn. Attacks on second turn and uses Sp.Def instead of Atk stat to deal damage. In Haunted Room all happens in first turn
overbake	Overbake	Fairy	50% recoil damage but also boosts users defense by 1
payloadpouch	Payload Pouch	Normal	Hits 2-5 Times and deals 30% recoil damage. Hits 5 times if item is held but looses it after the 5th Attack(or Consumes it if food item)
phantomslash	Phantom Slash	Bug	Has +2 Priority but only hits if Target wants to use a Status move
pitchblackcrush	Pitch-Black Crush	Dark	Lowers Users Atk and Spe by 1 but deals massive damage
pompompuff	Pompom Puff	Grass/Normal	Used on enemy: Phyical Attack: Lowers their Initiative by 1; On Partner: Special Attack: Heals the Amount of Damage it would deal
psycapburst	Psy-Cap Burst	Grass	Ignores Stat Changes in Enemies Sp.Def
puffbomb	Puffbomb	Grass/Flying	Hits all pokemon on Field
punchkickcombo	Punch Kick Combo	Bug/Fighting	Hits 2 Times and has Priority +1
puppetshow	Puppet Show	Grass	If allready used an Attack before, Uses the before used Attack again with Psycic Type but fails by Protect Moves
quakepunch	Quake Punch	Fighting	Hits Ground-Immune Enemies
resintrap	Resin Trap	Grass	lowers enemy Initiative by 2 and makes them unable to switch out or flee
rolereset	Role Reset	Grass	The user passes its current Ability to the target, then restores its own Ability to what it was at the start of the battle
rolladice	Rolladice	Psychic/Ghost	Chooses a Random Number from 1-6 as Damage and multiplies with 20
roostingwall	Roosting Wall	Flying/Rock	Heals 50% max.Hp als Looses Flying Type until it uses a damaging move again
rootambush	Root Ambush	Grass/Flying	Priority +1 if user has full hp
rootsnap	Root Snap	Grass/Ground	30% chance to lower targets speed by 1
rumble	Rumble	Fighting	Damage is not lowered by Burn
scenttrack	Scent Track	Grass/Ground	Cant miss Attacks against the target of this attack for the next 3 Rounds
scorchingsprint	Scorching Sprint	Fire	Switches out User after hitting target and has +1 Priority if user is heated up
seismichum	Seismic Hum	Steel/Electric	Hits all Pokemon and flinches 20%
sharedsuffering	Shared Suffering	Grass	If user is infected by Status Effect, target gets effected too
shelltoss	Shell Toss	Dragon	Lowers Attackers Defense by 1
shieldbash	Shield Bash	Fire/Ground	Raises unsers Defense by 1
shockwavejump	Shockwave Jump	Fighting	The user vaults high into the air using a localized ground explosion, then next turn crashes down on the target. This move ignores the effects of protection moves like Protect or Detect
shortcircuit	Short Circuit	Electric	Disables Targets last used move for 3 Turns and has +1 priority
slowattack	Slow Attack	Grass/Fighting	Damage is mulitplied by number of pokemon this turn that acted before user
slumberwing	Slumber Wing	Grass/Flying	It always works when the user is asleep and wakes them up
sneakattack	Sneak Attack	Fighting	Priority +1. Lowers Enemy Accuracy by 1
sonicdischarge	Sonic Discharge	Electric	Lowers Sp.Atk by 2 stages but deals massive damage
sonicshielding	Sonic Shielding	Rock/Fairy	Protect movem Pritects and raises its Sp.Def by 1 if hit by special move
sourscratch	Sour Scratch	Electric	Lowers Enemies highest Defense by 1
spectraltide	Spectral Tide	Water/Ghost	Heals 50% of Damage dealt if user is under 50% max.Hp
spereramp	Spere Ramp	Ground	just a Bullet Attack
spiceoverload	Spice Overload	Water/Fire	Lowers Targets Sp.Def and Accuracy by 1 and has a 20% chance to flinch them
splatterdash	Splatter Dash	Normal/Poison	Hits 2 Times and has a high crit ratio
sporeenvy	Spore Envy	Grass	deals very low damage and boosts Attack by 1. If Target Boosted Its stats in this Round before he attacks them. This Pokemon steals these stat Boosts from the target
sporemilk	Spore Milk	Grass	Switches Out and heals the newly switched in Pokemon by 25% max.Hp and boosts their Def by 1
sprinkleshower	Sprinkle Shower	Ice	Hits 2-5 Times
stemdrop	Stem Drop	Grass	Deals Damage by comparing this Pokemons bodyweight to the targets and has 30% recoil because it does a lot of damage
stirfry	Stir Fry	Water/Fire	If users speed stat is boosted by at least 1 stage this move doubles in power
stonebeak	Stonebeak	Flying/Rock	+1 Priority
stonesnap	Stone Snap	Fire/Rock	30% Flinch Chance
strategicdives	Strategic Dives	Grass/Flying	User switches out after Attack
sugarcrush	Sugarcrush	Grass/Ghost	more damage every hit
sweetclap	Sweet Clap	Psychic/Fairy	hits 2 times and flinches enemy 10% with every hit
sweetglaze	Sweet Glaze	Psychic/Fairy	Overwrites Enemys Ability by Its Ability
tailcanon	Tailcanon	Normal	High Damage
teaparty	Teaparty	Fairy	Heals itself and its parter by 25% of their Attack stat
thermalascent	Thermal Ascent	Flying	Boosts initiative by 1 and heals ⅓ of max. Hp
timewrap	Timewrap	Psychic/Steel	Targets Speed is = 200-TargetsSpeed for 5 Turns
triplespin	Triple-Spin	Fairy	Damages 3 Times
typehack	Type:Hack	Ghost/Electric	Is Super Effective
volcaniceruption	Volcanic Eruption	Fire/Ground	Deals high Damage
volcanicshellspam	Volcanic Shell Spam	Fire/Rock	Uses Users Defense Stat instead of Attack stat to calculate damage
voltlick	Volt Lick	Electric	Paralyses if Crits and crit ratio is +1
wadrobechange	Wadrobe Change	Ghost	Switches Out and Gives Changes in Defense and Sp.Def to the new switched in pokemon and boosts their Sp.Def by 1
wallbreaker	Wall Breaker	Flying/Normal	Damage increases not with attack boosts but with enemy defense boosts
woodbarktackle	Woodbark Tackle	Grass	30% flinch Chance
zestysomersault	Zesty Somersault	Electric	Switches Out after this Attack
